id,postcode,locality,state,long,lat,dc,type
"418","0872","IMAMPA","NT","131.298809","-21.949513","",""
"419","0872","INDULKANA","SA","131.298809","-21.949513","",""
"420","0872","JAY CREEK","NT","131.298809","-21.949513","",""
"421","0872","KALTUKATJARA","NT","131.298809","-21.949513","",""
"422","0872","KINTORE","NT","131.298809","-21.949513","",""
"423","0872","KIWIRRKURRA","NT","131.298809","-21.949513","",""
"424","0872","KULGERA","NT","131.298809","-21.949513","",""
"425","0872","MIMILI","SA","131.298809","-21.949513","",""
"426","0872","MOUNT LIEBIG","NT","131.298809","-21.949513","",""
"427","0872","MULGA BORE","NT","131.298809","-21.949513","",""
"428","0872","MURPUTJA HOMELANDS","NT","131.298809","-21.949513","",""
"429","0872","NGAANYATJARRA-GILES","WA","131.298809","-21.949513","",""
"430","0872","NYAPARI","NT","131.298809","-21.949513","",""
"431","0872","PAPUNYA","NT","131.298809","-21.949513","",""
"432","0872","PATJARR","NT","131.298809","-21.949513","",""
"433","0872","PITJANTJATJARA HOMELANDS","NT","131.298809","-21.949513","",""
"434","0872","SANTA TERESA","NT","131.298809","-21.949513","",""
"435","0872","THANGKENHARENGE","NT","131.298809","-21.949513","",""
"436","0872","TI TREE","NT","131.298809","-21.949513","",""
"437","0872","TJIRRKARLI","NT","131.298809","-21.949513","",""
"438","0872","TJUKURLA","NT","131.298809","-21.949513","",""
"439","0872","ULURU","NT","131.298809","-21.949513","",""
"440","0872","UMPANGARA","NT","131.298809","-21.949513","",""
"441","0872","URAPUNTJA","NT","131.298809","-21.949513","",""
"442","0872","WALLACE ROCKHOLE","NT","131.298809","-21.949513","",""
"443","0872","WANARN","NT","131.298809","-21.949513","",""
"444","0872","WARAKURNA","WA","131.298809","-21.949513","",""
"445","0872","WILLOWRA","NT","131.298809","-21.949513","",""
"446","0872","WILORA","NT","131.298809","-21.949513","",""
"447","0872","WINGELLINA","NT","131.298809","-21.949513","",""
"448","0872","YUELAMU","NT","131.298809","-21.949513","",""
"449","0872","YUENDUMU","NT","131.298809","-21.949513","",""
"450","0872","YULARA","NT","131.298809","-21.949513","",""
"16696","0873","AMOONGUNA","NT","133.9302","-23.7683","",""
"16697","0873","ARUMBERA","NT","133.8088","-23.78","",""
"16698","0873","CONNELLAN","NT","133.9061","-23.7951","",""
"16700","0873","ILPARPA","NT","133.8277","-23.7449","",""
"16701","0873","KILGARIFF","NT","133.8817","-23.7726","",""
"16702","0873","ROSS","NT","133.9082","-23.7462","",""
"16704","0874",""MOUNT JOHNS"","NT","133.9056","-23.723","",""
"16703","0874","IRLPME","NT","133.8652","-23.6476","",""
"16705","0874","UNDOOLYA","NT","133.9187","-23.6871","",""
"16706","0875","FLYNN","NT","133.833","-23.7119","",""
"16707","0875","LARAPINTA","NT","133.8325","-23.6817","",""
"451","0880","GAPUWIYAK","NT","136.824863","-11.670366","",""
"452","0880","GOVE","NT","136.824863","-11.670366","",""
"453","0880","NHULUNBUY","NT","136.824863","-11.670366","",""
"454","0880","YIRRKALA","NT","136.824863","-11.670366","",""
"455","0881","NHULUNBUY","NT","0","0","",""
"456","0885","ALYANGULA","NT","136.635978","-13.811378","",""
"457","0886","JABIRU","NT","132.563373","-13.13118","",""
"1","0906","WINNELLIE","NT","0","0","",""
"2","0907","WINNELLIE","NT","0","0","",""
"3","0909","CHARLES DARWIN UNIVERSITY","NT","0","0","",""
"458","1001","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"459","1002","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"460","1003","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"461","1004","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"462","1005","SYDNEY","NSW","151.268071","-33.794883","GPO BOX CENTRE","LVR"
"463","1006","SYDNEY","NSW","151.268071","-33.794883","GPO BOX CENTRE","LVR"
"464","1007","SYDNEY","NSW","151.268071","-33.794883","GPO BOX CENTRE","LVR"
"465","1008","SYDNEY","NSW","151.268071","-33.794883","GPO BOX CENTRE","LVR"
"466","1009","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"467","1010","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"4","1011","SYDNEY","NSW","0","0","SYDNEY WEST LETTERS FACILITY","LVR"
"468","1020","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"469","1021","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"470","1022","SYDNEY","NSW","151.268071","-33.794883","SYDNEY GPO","LVR"
"471","1023","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"472","1025","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"473","1026","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"474","1027","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"475","1028","SYDNEY","NSW","151.268071","-33.794883","GPO BOX CENTRE","LVR"
"476","1029","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"477","1030","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"478","1031","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"479","1032","SYDNEY","NSW","150.874182","-33.662834","NULL","LVR"
"480","1033","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"481","1034","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"482","1035","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"483","1036","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"484","1037","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"485","1038","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"486","1039","SYDNEY","NSW","151.268071","-33.794883","GPO BOX CENTRE","LVR"
"487","1040","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"488","1041","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"489","1042","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"490","1043","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"491","1044","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"492","1045","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"493","1046","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"494","1100","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"495","1101","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"496","1105","SYDNEY","NSW","151.268071","-33.794883","GPO BOX CENTRE","LVR"
"497","1106","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"498","1107","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"499","1108","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"500","1109","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"501","1110","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"502","1112","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"503","1113","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"504","1114","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"505","1115","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"506","1116","SYDNEY","NSW","150.866145","-33.666729","NULL","LVR"
"507","1117","SYDNEY","NSW","150.87022","-33.664575","CITY PBC OPERATIONS","LVR"
"508","1118","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"509","1119","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"510","1120","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"511","1121","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"512","1122","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"513","1123","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"514","1124","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"515","1125","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"516","1126","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"517","1127","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"518","1128","SYDNEY","NSW","151.268071","-33.794883","CITY PBC OPERATIONS","LVR"
"519","1129","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"520","1130","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"521","1131","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"522","1132","SYDNEY","NSW","150.874265","-33.66279","EAST SUBS MC","LVR"
"523","1133","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"524","1134","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"525","1135","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"526","1136","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"527","1137","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"528","1138","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"529","1139","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"530","1140","SYDNEY","NSW","151.268071","-33.794883","GPO BOX CENTRE","LVR"
"531","1141","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"532","1142","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"533","1143","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"534","1144","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"535","1145","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"536","1146","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"537","1147","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"538","1148","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"539","1149","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"540","1150","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"541","1151","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"542","1152","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"543","1153","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"544","1154","SYDNEY","NSW","151.268071","-33.794883","GPO BOX CENTRE","LVR"
"545","1155","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"546","1156","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"547","1157","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"548","1158","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"549","1159","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"550","1160","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"551","1161","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"552","1162","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"553","1163","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"554","1164","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"555","1165","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"556","1166","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"557","1167","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"558","1168","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"559","1169","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"560","1170","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"561","1171","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"562","1172","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"563","1173","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"564","1174","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"565","1175","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"566","1176","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"567","1177","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"568","1178","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"569","1179","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"570","1180","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"571","1181","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"572","1182","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"573","1183","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"574","1184","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"575","1185","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"576","1186","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"577","1187","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"578","1188","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"579","1189","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"580","1190","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"581","1191","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"582","1192","SYDNEY","NSW","147.685283","-34.790684","NULL","LVR"
"583","1193","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"584","1194","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"585","1195","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"586","1196","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"587","1197","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"588","1198","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"589","1199","SYDNEY","NSW","151.268071","-33.794883","NULL","LVR"
"590","1200","SYDNEY","NSW","0","0","NULL","LVR"
"591","1201","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"592","1202","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"593","1203","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"594","1204","SYDNEY","NSW","0","0","NULL","LVR"
"595","1205","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"596","1206","SYDNEY","NSW","0","0","NULL","LVR"
"597","1207","SYDNEY","NSW","151.268071","-33.794883","EAST SUBS MC","LVR"
"598","1208","HAYMARKET","NSW","151.659454","-29.816475","NULL","LVR"
"599","1209","AUSTRALIA SQUARE","NSW","151.176251","-33.891788","NULL","LVR"
"600","1210","AUSTRALIA SQUARE","NSW","151.176251","-33.891788","EAST SUBS MC","LVR"
"601","1211","AUSTRALIA SQUARE","NSW","151.176251","-33.891788","NULL","LVR"
"602","1212","AUSTRALIA SQUARE","NSW","151.176251","-33.891788","NULL","LVR"
"603","1213","AUSTRALIA SQUARE","NSW","151.176251","-33.891788","NULL","LVR"
"604","1214","AUSTRALIA SQUARE","NSW","151.176251","-33.891788","AUSTRALIA SQUARE POST SHOP","LVR"
"605","1215","AUSTRALIA SQUARE","NSW","151.176251","-33.891788","AUSTRALIA SQUARE POST SHOP","Post Office Boxes"
"606","1216","GROSVENOR PLACE","NSW","151.034025","-33.741311","NULL","LVR"
"607","1217","GROSVENOR PLACE","NSW","151.034025","-33.741311","NULL","LVR"
"608","1218","GROSVENOR PLACE","NSW","151.034025","-33.741311","NULL","LVR"
"609","1219","GROSVENOR PLACE","NSW","151.034025","-33.741311","GROSVENOR PLACE POST SHOP","LVR"
"610","1220","GROSVENOR PLACE","NSW","151.034025","-33.741311","GROSVENOR PLACE POST SHOP","Post Office Boxes"
