postcode,locality,region,long,lat,territory,island
"1061","Greenlane","Auckland","174.7991","-36.9155","Auckland","North Island"
"1061","Hillsborough","Auckland","174.7991","-36.9155","Auckland","North Island"
"1061","One Tree Hill","Auckland","174.7991","-36.9155","Auckland","North Island"
"1061","Onehunga","Auckland","174.7991","-36.9155","Auckland","North Island"
"1061","Penrose","Auckland","174.7991","-36.9155","Auckland","North Island"
"1061","Royal Oak","Auckland","174.7991","-36.9155","Auckland","North Island"
"1061","Te Papapa","Auckland","174.7991","-36.9155","Auckland","North Island"
"1062","OTAHUHU","Auckland","174.8483","-36.941","Auckland","North Island"
"1071","Glendowie","Auckland","174.8482","-36.8565","Auckland","North Island"
"1071","Kohimarama","Auckland","174.8482","-36.8565","Auckland","North Island"
"1071","Mission Bay","Auckland","174.8482","-36.8565","Auckland","North Island"
"1071","Orakei","Auckland","174.8482","-36.8565","Auckland","North Island"
"1071","St Heliers","Auckland","174.8482","-36.8565","Auckland","North Island"
"1072","Glen Innes","Auckland","174.8528","-36.8873","Auckland","North Island"
"1072","Meadowbank","Auckland","174.8528","-36.8873","Auckland","North Island"
"1072","Mt Wellington","Auckland","174.8528","-36.8873","Auckland","North Island"
"1072","Panmure","Auckland","174.8528","-36.8873","Auckland","North Island"
"1072","Point England","Auckland","174.8528","-36.8873","Auckland","North Island"
"1072","Remuera","Auckland","174.8528","-36.8873","Auckland","North Island"
"1072","St Johns","Auckland","174.8528","-36.8873","Auckland","North Island"
"1072","Tamaki","Auckland","174.8528","-36.8873","Auckland","North Island"
"1081","Omiha","Auckland","175.0362","-36.7932","Auckland","North Island"
